🔍 PointRend 极细粒度测试报告 (透明度: 0.45, 阈值: 0.15)
====================================================================================================

▶ 图片: IMG_20251223142837.jpg (人工标注: 194块 | 预测: 186块)
--------------------------------------------------------------------------------
  [匹配成功] 石头_046 | IoU: 0.90 | 真实面积:   8924 px | 预测面积:   9168 px | 面积误差:   +244 px (  +2.7%)
  [匹配成功] 石头_047 | IoU: 0.70 | 真实面积:  13272 px | 预测面积:  17088 px | 面积误差:  +3816 px ( +28.7%)
  [匹配成功] 石头_048 | IoU: 0.92 | 真实面积:  12604 px | 预测面积:  12677 px | 面积误差:    +72 px (  +0.6%)
  [匹配成功] 石头_049 | IoU: 0.96 | 真实面积:   8600 px | 预测面积:   8442 px | 面积误差:   -158 px (  -1.8%)
  [匹配成功] 石头_050 | IoU: 0.94 | 真实面积:   4818 px | 预测面积:   4817 px | 面积误差:     -2 px (  -0.0%)
  [匹配成功] 石头_051 | IoU: 0.47 | 真实面积:   4000 px | 预测面积:   2131 px | 面积误差:  -1868 px ( -46.7%)
  [匹配成功] 石头_052 | IoU: 0.92 | 真实面积:   6829 px | 预测面积:   6810 px | 面积误差:    -19 px (  -0.3%)
  [匹配成功] 石头_053 | IoU: 0.95 | 真实面积:   7210 px | 预测面积:   7122 px | 面积误差:    -88 px (  -1.2%)
  [匹配成功] 石头_054 | IoU: 0.98 | 真实面积:  17408 px | 预测面积:  17546 px | 面积误差:   +138 px (  +0.8%)
  [匹配成功] 石头_055 | IoU: 0.91 | 真实面积:   7518 px | 预测面积:   7297 px | 面积误差:   -221 px (  -2.9%)
  [匹配成功] 石头_056 | IoU: 0.91 | 真实面积:   8673 px | 预测面积:   8679 px | 面积误差:     +6 px (  +0.1%)
  [匹配成功] 石头_057 | IoU: 0.88 | 真实面积:   6508 px | 预测面积:   6947 px | 面积误差:   +439 px (  +6.7%)
  [匹配成功] 石头_058 | IoU: 0.95 | 真实面积:   9972 px | 预测面积:   9671 px | 面积误差:   -300 px (  -3.0%)
  [匹配成功] 石头_059 | IoU: 0.98 | 真实面积:   7952 px | 预测面积:   7884 px | 面积误差:    -68 px (  -0.9%)
  [匹配成功] 石头_060 | IoU: 0.94 | 真实面积:  19904 px | 预测面积:  19924 px | 面积误差:    +20 px (  +0.1%)
  [匹配成功] 石头_061 | IoU: 0.92 | 真实面积:  13039 px | 预测面积:  13554 px | 面积误差:   +515 px (  +3.9%)
  [匹配成功] 石头_062 | IoU: 0.96 | 真实面积:   9794 px | 预测面积:   9606 px | 面积误差:   -188 px (  -1.9%)
  [匹配成功] 石头_063 | IoU: 0.96 | 真实面积:   8791 px | 预测面积:   8914 px | 面积误差:   +123 px (  +1.4%)
  [匹配成功] 石头_064 | IoU: 0.83 | 真实面积:   5854 px | 预测面积:   6588 px | 面积误差:   +734 px ( +12.5%)
  [匹配成功] 石头_065 | IoU: 0.93 | 真实面积:   6546 px | 预测面积:   6322 px | 面积误差:   -224 px (  -3.4%)
  [漏检/偏离] 石头_066 | 最大IoU: 0.04 | 真实面积:   8435 px | 预测未匹配
  [匹配成功] 石头_067 | IoU: 0.87 | 真实面积:   5644 px | 预测面积:   5749 px | 面积误差:   +105 px (  +1.9%)
  [匹配成功] 石头_068 | IoU: 0.93 | 真实面积:   8732 px | 预测面积:   9276 px | 面积误差:   +544 px (  +6.2%)
  [匹配成功] 石头_069 | IoU: 0.96 | 真实面积:  10586 px | 预测面积:  10811 px | 面积误差:   +226 px (  +2.1%)
  [匹配成功] 石头_070 | IoU: 0.94 | 真实面积:   9236 px | 预测面积:   9202 px | 面积误差:    -34 px (  -0.4%)
  [匹配成功] 石头_071 | IoU: 0.90 | 真实面积:   6010 px | 预测面积:   5720 px | 面积误差:   -290 px (  -4.8%)
  [匹配成功] 石头_072 | IoU: 0.95 | 真实面积:  10883 px | 预测面积:  10470 px | 面积误差:   -413 px (  -3.8%)
  [漏检/偏离] 石头_073 | 最大IoU: 0.19 | 真实面积:   5344 px | 预测未匹配
  [匹配成功] 石头_074 | IoU: 0.87 | 真实面积:   6240 px | 预测面积:   6296 px | 面积误差:    +56 px (  +0.9%)
  [匹配成功] 石头_075 | IoU: 0.90 | 真实面积:   8928 px | 预测面积:   9395 px | 面积误差:   +468 px (  +5.2%)
  [匹配成功] 石头_076 | IoU: 0.95 | 真实面积:  12170 px | 预测面积:  11829 px | 面积误差:   -342 px (  -2.8%)
  [匹配成功] 石头_077 | IoU: 0.95 | 真实面积:  11997 px | 预测面积:  11642 px | 面积误差:   -355 px (  -3.0%)
  [匹配成功] 石头_078 | IoU: 0.94 | 真实面积:   6323 px | 预测面积:   6405 px | 面积误差:    +82 px (  +1.3%)
  [匹配成功] 石头_079 | IoU: 0.73 | 真实面积:   6487 px | 预测面积:   7588 px | 面积误差:  +1101 px ( +17.0%)
  [匹配成功] 石头_080 | IoU: 0.93 | 真实面积:   8516 px | 预测面积:   8742 px | 面积误差:   +226 px (  +2.7%)
  [匹配成功] 石头_081 | IoU: 0.92 | 真实面积:   8090 px | 预测面积:   7726 px | 面积误差:   -364 px (  -4.5%)
  [漏检/偏离] 石头_082 | 最大IoU: 0.09 | 真实面积:   6686 px | 预测未匹配
  [漏检/偏离] 石头_083 | 最大IoU: 0.00 | 真实面积:   6278 px | 预测未匹配
  [匹配成功] 石头_084 | IoU: 0.85 | 真实面积:   6934 px | 预测面积:   7224 px | 面积误差:   +290 px (  +4.2%)
